,Account,HS300
89,"IF    29795985.54
Name: 2017-9-29, dtype: float64",2508.325
90,"IF    31844696.42
Name: 2017-10-31, dtype: float64",2808.8190000000004
91,"IF    32095861.49
Name: 2017-11-30, dtype: float64",3533.705
92,"IF    33133802.32
Name: 2017-12-29, dtype: float64",3434.39
93,"IF    37325413.41
Name: 2018-1-31, dtype: float64",3572.843
94,"IF    34997577.96
Name: 2018-2-28, dtype: float64",4051.204
95,"IF    35897528.94
Name: 2018-3-30, dtype: float64",4749.8859999999995
96,"IF    33392661.18
Name: 2018-4-27, dtype: float64",4840.829000000001
97,"IF    32317537.39
Name: 2018-5-31, dtype: float64",4472.9976
98,"IF    31520098.48
Name: 2018-6-29, dtype: float64",3816.6993
99,"IF    31832528.0
Name: 2018-7-31, dtype: float64",3366.5359
100,"IF    30998115.05
Name: 2018-8-31, dtype: float64",3202.9475
101,"IF    30307925.14
Name: 2018-9-28, dtype: float64",3534.0788
102,"IF    27115339.22
Name: 2018-10-31, dtype: float64",3566.4122
103,"IF    27591209.38
Name: 2018-11-30, dtype: float64",3731.0047
104,"IF    25870752.33
Name: 2018-12-28, dtype: float64",2946.0902
105,"IF    28507982.12
Name: 2019-1-31, dtype: float64",2877.4666
106,"IF    32813593.52
Name: 2019-2-28, dtype: float64",3218.0879
107,"IF    37178023.13
Name: 2019-3-29, dtype: float64",3156.7451
108,"IF    37177243.56
Name: 2019-4-30, dtype: float64",3169.5598
109,"IF    34755697.4
Name: 2019-5-31, dtype: float64",3153.921
110,"IF    35374342.36
Name: 2019-6-28, dtype: float64",3203.9304
111,"IF    34931233.23
Name: 2019-7-31, dtype: float64",3327.7938
112,"IF    35471564.15
Name: 2019-8-30, dtype: float64",3253.2848
113,"IF    36216669.36
Name: 2019-9-30, dtype: float64",3336.2778
114,"IF    37183910.26
Name: 2019-10-31, dtype: float64",3538.0009999999997
115,"IF    39461223.44
Name: 2019-11-29, dtype: float64",3310.0808
116,"IF    44516160.34
Name: 2019-12-31, dtype: float64",3387.9606
117,"IF    43940515.1
Name: 2020-1-23, dtype: float64",3452.8103
118,"IF    46398225.4
Name: 2020-2-28, dtype: float64",3456.0455
119,"IF    42769079.18
Name: 2020-3-31, dtype: float64",3439.7529999999997
120,"IF    45043879.82
Name: 2020-4-30, dtype: float64",3492.8845
121,"IF    43527723.6
Name: 2020-5-29, dtype: float64",3666.7977
122,"IF    44702508.44
Name: 2020-6-30, dtype: float64",3737.8732
