Date,000001.SZ,000002.SZ,000063.SZ,000066.SZ,000069.SZ,000100.SZ,000157.SZ,000425.SZ,000538.SZ,000568.SZ,000596.SZ,000625.SZ,000627.SZ,000651.SZ,000656.SZ,000661.SZ,000671.SZ,000703.SZ,000708.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000858.SZ,000860.SZ,000876.SZ,000895.SZ,000938.SZ,000961.SZ,000963.SZ,000977.SZ,600000.SH,600004.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600170.SH,600176.SH,600177.SH,600183.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600299.SH,600309.SH,600332.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600383.SH,600390.SH,600398.SH,600406.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600519.SH,600522.SH,600547.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600655.SH,600660.SH,600674.SH,600690.SH,600703.SH,600705.SH,600741.SH,600760.SH,600795.SH,600809.SH,600837.SH,600848.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,601607.SH
2008-02-29,760.2645,1541.0520,608.0538,60.7043,563.0097,152.0763,438.1241,141.1777,185.8756,626.9721,39.0821,241.6614,85.6822,450.0273,25.2042,17.8998,15.7036,15.7581,64.9845,489.2935,40.3442,243.5819,425.4675,397.5451,19.4236,422.0496,77.4727,1374.1400,83.5857,130.2157,289.6656,53.4778,29.8727,70.2309,24.3595,1834.7121,208.9550,613.5436,484.9596,1266.4852,719.0400,1985.1027,2998.0544,13250.3828,731.0336,2083.9560,547.2864,4526.2129,85.3833,2227.7623,45.0537,127.2135,233.1573,132.3333,259.2008,1235.5241,228.0052,193.4809,576.7154,110.1975,117.8210,143.9029,484.0654,132.4520,803.5875,204.7280,299.1161,344.7331,374.0047,22.2420,209.6118,223.2951,16.9332,237.7917,667.1634,105.2192,13.3263,14.4375,107.4170,1017.1600,40.4015,37.6380,338.9032,30.0894,32.8475,84.1188,50.1060,174.0113,95.1043,45.3840,380.5690,66.3790,73.3600,1840.4100,36.3147,380.6541,62.4679,482.4230,998.3127,134.6858,47.4304,72.8004,196.2404,363.3417,194.6004,274.7979,6.4778,43.4990,124.7997,20.8026,505.2806,125.4614,1749.6462,53.4748,50.1626,146.6988,159.7979,35.9414,1639.5853,69.3253
2008-03-31,646.7408,1677.0782,523.6091,43.1899,534.5709,155.6971,334.6200,106.5646,130.6938,540.2678,30.9449,162.7196,67.5441,374.8001,25.2042,15.7986,15.7036,10.5054,50.3337,361.9276,39.0878,228.6851,277.0077,269.1595,19.4236,304.1437,64.3593,918.6239,65.4740,93.2004,227.2481,34.9306,29.8727,62.0706,19.8015,1541.6285,160.8850,468.2509,412.3772,978.2662,588.4200,1550.7258,2173.2392,9489.5232,539.2695,1740.4977,384.9952,4521.9909,56.7423,1878.0184,35.0990,100.0992,159.0466,97.2209,180.0314,899.4563,123.3799,146.0493,474.4538,62.0761,101.9245,112.0194,356.4805,94.2668,730.1168,182.9431,255.0953,222.4808,298.6714,18.3645,159.9944,183.6365,14.7823,161.0341,557.0507,82.3798,13.1228,11.0040,91.2715,692.1401,29.0401,25.2150,319.0170,20.3744,26.6724,54.7359,43.5400,117.0159,73.1607,33.7888,284.2947,51.1270,63.2000,1771.6070,28.3531,251.5103,49.9929,432.4320,815.1204,129.8168,39.3066,72.8004,196.2404,270.4032,127.4409,179.7631,6.4778,43.4990,107.7425,17.7996,398.2319,86.2818,1297.1160,42.5439,51.7106,115.9037,143.1454,35.9414,1322.3980,53.9576
2008-04-30,679.3072,1612.4840,560.1730,37.8255,424.6163,138.8860,320.7789,79.3102,139.7940,530.6824,31.7331,169.1852,62.0621,404.1896,25.2042,13.7236,15.7036,9.1958,49.2102,428.3301,40.2464,227.4984,443.6223,256.7714,19.4236,453.8708,69.1905,1079.9525,80.3844,90.1736,226.8239,40.7626,29.8727,63.1557,18.1890,1834.2766,185.7250,432.7949,404.0269,1047.5338,609.4200,1648.8950,2437.6704,10028.8512,458.3838,2628.3174,378.9440,4995.3997,60.3857,1952.2065,31.1514,106.4178,165.7082,102.7330,199.5035,1031.1320,250.6607,165.2238,400.9159,72.2115,99.7666,126.8499,393.2196,94.9367,906.8498,197.3013,217.2825,227.2284,293.3202,14.4870,185.4495,200.7587,17.7625,138.7588,440.6173,92.4674,13.8640,9.8700,94.8301,795.0266,33.1537,19.4750,227.3898,21.0466,25.5409,52.5934,42.0140,121.2785,65.4620,24.9844,214.1105,50.2660,74.1200,1728.3809,29.8154,211.6820,49.7701,467.4067,922.7250,130.6779,32.6727,72.8004,196.2404,262.5915,157.4588,179.6292,6.4778,43.4990,114.1236,15.0423,391.6946,85.5891,2138.8221,30.5509,50.6049,101.3498,140.4144,35.9414,1316.7508,46.7860
2008-05-30,578.6266,1319.2882,630.4533,35.9916,354.1090,137.5928,320.7789,89.8849,133.3561,522.7004,28.8810,142.5975,61.9267,341.4029,17.6780,13.6054,10.3358,8.9080,45.6599,372.1259,43.8341,189.7108,349.1879,250.2395,19.4236,415.5179,67.4076,857.8885,75.5166,80.8409,237.7924,45.2758,24.2227,66.8452,17.3720,1591.9709,156.4000,421.6185,352.6403,1119.6697,494.7600,1357.1384,2164.4832,10634.6452,394.7579,2270.2721,377.2576,4234.9765,59.1037,2064.5485,27.9333,86.6660,161.2116,95.9622,215.4996,808.3970,253.1113,158.8054,383.6353,63.2806,89.1930,125.3541,324.6400,85.0794,989.9205,178.6109,226.3124,191.0934,252.7386,13.0515,177.7237,210.8458,17.9025,135.2606,355.7872,97.4485,13.3989,9.7230,82.9681,707.9485,30.9500,21.1560,191.4774,23.5594,30.3581,67.2593,37.8280,121.2785,58.7775,24.8017,234.9537,55.5140,92.6050,1586.9053,30.9528,216.4137,52.4247,471.2083,1036.7792,136.9674,30.9699,46.9268,196.2404,198.2956,162.8630,162.6300,6.4778,43.4990,125.1678,15.7521,438.0006,73.4239,2021.5757,35.5095,56.9812,99.3460,128.8508,35.9414,1378.8705,45.1354
2008-06-30,461.7541,987.2199,574.1289,24.7035,264.9920,105.5223,210.6585,79.5283,131.1295,419.5267,25.6339,99.6197,53.5345,261.3331,11.9520,8.7463,6.7097,6.1737,32.3574,241.3608,33.3084,133.2604,255.4855,191.6776,19.4236,309.3356,45.0918,691.6251,64.9039,56.3743,226.0361,31.4890,15.4773,52.9553,13.0935,1245.4965,118.1050,304.8448,254.3643,778.0235,387.6600,1072.9111,1525.2952,8174.0398,259.8414,1586.0078,275.8752,3394.3656,51.4121,1413.8130,20.7676,68.9896,125.4053,86.4138,166.0935,514.2558,204.9496,134.0198,245.6116,49.1497,65.9596,97.4454,228.0050,56.4644,836.3281,149.6470,150.6868,139.1329,169.2673,9.0750,164.3652,180.5328,13.5100,83.4241,311.5425,73.4244,12.9630,6.8565,99.3772,554.7521,31.7090,22.0580,152.2086,13.4282,21.5319,50.6294,33.4180,91.4402,39.0928,17.7582,179.0723,38.5400,75.1858,1307.9180,25.2659,183.3985,43.0685,414.1843,731.7770,129.4249,23.9458,31.9698,196.2404,126.7890,139.0403,118.3251,6.4778,43.4990,79.9601,10.1283,350.2916,56.3234,2055.3097,23.1703,57.4235,71.3983,130.5294,35.9414,1378.8705,38.3053
2008-07-31,496.8694,927.8161,570.3386,27.0143,267.6131,112.7640,220.5450,98.3338,162.3023,467.4885,27.6423,108.0841,53.3314,259.9972,13.0772,11.3466,6.8334,6.6918,36.4920,223.7291,31.6192,165.2335,273.7867,192.5785,19.4236,286.3908,46.4146,789.5611,66.0880,82.2534,248.3973,32.4576,19.6847,54.6916,14.7275,1285.6920,124.2000,346.8525,250.5103,775.6585,453.1800,1121.8509,1411.4672,9028.4567,288.1909,1498.4857,310.3968,3511.2641,53.2676,1398.9754,24.0286,70.4453,133.0662,91.0404,210.2930,528.6680,191.7464,142.9813,290.6607,56.3473,64.9526,94.4536,242.7007,58.9526,812.8412,164.6241,181.4450,139.0010,182.7661,12.5565,167.5048,199.5172,14.4375,85.8286,319.3602,71.6609,13.0066,8.5575,104.1220,548.0647,28.3545,30.2580,140.7971,15.5249,23.7304,52.0577,33.5860,104.4343,44.3943,19.3696,167.4647,46.2070,94.2041,1509.0418,28.2177,191.2609,40.4844,424.0685,667.0758,127.7128,27.5501,35.5850,128.7903,143.2135,132.3341,147.1032,32.4964,43.4990,88.2065,11.4114,338.8512,56.9295,1866.8926,25.6128,58.7135,77.8316,132.6876,35.9414,1350.6343,39.1022
2008-08-29,482.5366,766.1627,412.3949,21.4024,238.5190,84.0558,167.1579,79.0922,142.7467,401.5410,23.0399,86.2363,33.1630,225.4311,11.0518,8.5231,5.5771,4.9937,31.0092,164.9866,17.2963,102.1578,245.3832,151.1347,19.4236,234.9744,28.1248,714.7805,47.1431,61.9738,235.1260,22.3803,13.4036,38.6313,11.6315,1243.7980,134.0900,327.9683,197.8389,701.0523,468.7200,1144.4385,1141.7824,8250.5833,200.1062,1333.3870,228.2592,3395.1731,35.9952,1034.3939,17.9786,68.5217,102.2561,75.0511,188.2452,422.5414,159.6386,97.9313,178.2540,45.8006,56.8245,80.0078,216.6493,54.5503,660.4502,125.8817,132.0626,101.0197,136.2831,7.3590,132.3540,175.9807,10.9550,57.9160,264.1375,54.7868,7.3098,6.3000,76.9712,429.1622,21.7678,27.4700,118.1420,15.4128,18.7515,44.3549,25.4660,71.6396,32.2239,14.1202,112.8410,37.5560,60.0527,1321.2256,21.8538,127.3650,36.8013,260.4096,555.4792,107.0752,23.8039,27.9293,85.1504,105.7577,90.2452,129.1671,24.1015,43.4990,82.6108,12.6945,278.9258,45.9765,1404.4891,21.3422,47.6564,81.4173,122.5362,35.9414,1350.6343,35.1180
2008-09-26,358.0804,696.0905,388.7061,19.3667,250.8381,74.4863,223.7391,88.0862,148.0228,362.5023,16.4584,79.1493,27.2748,232.9455,8.9015,7.4068,4.3304,4.3317,27.9083,164.9866,14.4904,83.5972,285.4995,149.7833,19.4236,291.4152,27.0321,633.9264,40.6965,60.3848,166.6486,19.1860,11.9611,41.3659,10.9650,884.3025,142.9450,335.2908,199.7659,823.1991,351.1200,971.2669,1273.1224,8403.1421,201.3580,1641.7038,241.8000,2589.0296,34.0724,1159.4538,19.0084,63.3228,117.5779,74.2698,198.4303,446.7802,161.7392,87.7587,160.5795,48.0627,69.4123,67.4425,240.9194,49.4781,539.3483,111.7711,122.4683,95.0851,121.0271,6.6165,128.1679,181.6708,10.4475,58.0728,211.7425,45.6789,6.4234,5.9115,60.4962,344.5392,19.9069,22.0170,101.5283,11.4756,17.3936,44.8651,23.3940,58.9205,28.2132,13.7215,121.1065,34.7270,60.9481,1244.7778,19.5791,134.4092,33.7419,299.9462,477.2923,110.1754,20.7601,26.0862,90.0867,120.1792,91.2033,121.9391,22.4028,43.4990,65.3818,8.2719,342.1199,43.9418,1770.6271,18.3326,46.6244,94.7056,74.1772,35.9414,1350.6343,32.2152
2008-10-31,259.9248,621.6511,223.3656,14.5250,204.9691,54.3130,146.1681,68.0269,138.4386,269.0882,12.7572,72.4094,18.8826,185.9807,7.4012,6.9603,3.3501,3.2236,16.8528,164.9866,7.8734,50.5178,174.6671,114.5335,19.4236,205.1630,19.7276,463.8671,35.9603,43.1320,168.7696,13.3746,8.7154,29.0820,8.6215,664.6422,82.4550,205.2211,140.6716,639.6288,369.7981,758.5670,800.2984,5462.9674,154.3103,1182.8754,166.6560,1677.6442,26.1784,1021.6759,11.7998,39.8237,102.0896,61.9262,194.2364,323.6208,124.5301,50.0556,109.6599,35.9589,51.9333,53.0821,166.3279,36.5583,336.4723,85.6540,100.4579,62.7747,92.4905,5.5770,129.3991,162.9968,8.1550,30.9966,138.5558,33.0150,4.0691,4.6305,32.6864,187.2378,13.2713,13.0380,95.1513,8.2426,13.4494,41.1922,23.0580,36.3698,17.2414,10.5652,90.0572,29.1920,42.4654,870.1836,14.4067,114.4150,24.7421,238.9306,317.0934,80.9685,15.4920,18.6431,56.9121,75.3123,58.8861,106.2784,15.5343,43.4990,41.3790,8.0535,293.6348,45.8034,1517.2102,11.0817,39.7689,79.8354,55.0733,35.9414,1350.6343,27.0357
2008-11-28,279.1785,721.4019,271.5796,16.5607,246.3823,64.1410,207.6165,87.2140,151.4596,275.3623,15.2938,72.4200,20.8453,226.0573,7.2512,8.0109,4.5398,3.9431,21.9761,164.9866,11.0981,61.4376,162.8079,126.3585,19.4236,180.8784,26.4569,587.6156,46.9238,47.8992,179.9805,15.2705,10.9693,32.5545,9.7825,678.7956,79.0050,212.3508,172.7884,828.2976,363.8095,754.8024,882.6048,6432.5360,174.2803,1296.9195,242.6928,1698.8179,29.6868,1140.3769,13.1299,43.0990,136.2305,60.5200,253.6696,377.9944,113.6775,55.3841,140.0506,41.1588,68.4772,59.9631,170.7811,40.6735,325.2478,103.4780,100.4579,80.4465,105.9336,6.5340,155.7468,178.2568,9.9925,35.6487,158.6821,35.7931,4.7085,5.5650,37.7607,228.0265,18.4623,15.2930,118.1420,9.2029,16.7470,57.2610,23.4920,41.6637,26.0465,13.5720,107.7740,34.5630,53.7852,960.7884,17.4126,138.8919,27.0292,260.2195,476.4499,81.3849,18.2627,22.0457,64.2439,81.1209,58.8861,119.9313,18.8085,43.4990,47.2693,9.9099,343.2095,47.4485,694.4281,17.2353,49.0569,91.1199,61.7077,36.8909,1350.6343,35.3456
